id,dataset,question,options,correct_answer,correct_index,split_type,subject_name,topic_name,year,exam_name,student_answer,student_index
3331b36a-00ae-4cc6-a352-ae3db6bfcc8d,medmcqa,"A 2 year old boy has vitamin D refractory rickets. Investigations show serum calcium 9 mg/dl. Phosphate 2.4 mg dl, alkaline phosphate 1040 parathyroid hormone and bicarbonate levels are normal. The most probable diagnosis is –","{'0': 'Distal renal tubular acidosis', '1': 'Hypophosphatemic rickets.', '2': 'Vitamin D dependent rickets', '3': 'Proximal renal tubular acidosis', 'correct answer': 'Distal renal tubular acidosis'}",Hypophosphatemic rickets.,1,val,Pediatrics,None,,,Distal renal tubular acidosis,0
4de1f7bb-e990-4a25-b097-b1ff2d93e603,medmcqa,A/E are involved in MEN type II A ?,"{'0': 'Parathyroid', '1': 'Adrenal', '2': 'Thyroid', '3': 'Pituitary', 'correct answer': 'Adrenal'}",Pituitary,3,test,Pathology,,,,Adrenal,1
2824395e-a5b4-48b7-ac81-b59a30f12d92,medqa_in,"A 66-year-old male presents to clinic for a blood glucose level of 169 mg/dL taken at a local pharmacy. He is a farmer in rural Alabama and has not seen a doctor for decades. He wants to be in excellent shape prior to his trip to visit his daughter at college. His past medical history and family history are unknown, and he does not take any medications. His diet consists of pork products and he does not smoke. His temperature is 99.5°F (37.5°C), pulse is 100/min, blood pressure is 169/90 mmHg, respirations are 18/min, and oxygen saturation is 97% on room air. The patient is started on metformin, lisinopril, and a guided exercise program. Lab results are below:

Serum:
Na+: 145 mEq/L
Cl-: 100 mEq/L
K+: 4.9 mEq/L
HCO3-: 24 mEq/L
BUN: 18 mg/dL
Glucose: 211 mg/dL
Creatinine: 1.0 mg/dL
Ca2+: 10.0 mg/dL

He returns from his trip, complaining of cough. He denies any other symptoms. His temperature is 99.5°F (37.5°C), pulse is 101/min, blood pressure is 160/85 mmHg, respirations are 18/min, and oxygen saturation is 98% on room air. Repeat lab results are below:

Serum:
Na+: 145 mEq/L
Cl-: 100 mEq/L
K+: 5.3 mEq/L
HCO3-: 24 mEq/L
BUN: 22 mg/dL
Glucose: 169 mg/dL
Creatinine: 1.2 mg/dL
Ca2+: 10.1 mg/dL

What is the next best step in management?","{'0': 'Switch blood pressure medication to losartan', '1': 'Switch blood pressure medication to hydrochlorothiazide', '2': 'Azithromycin', '3': 'Loratadine', 'correct answer': 'Switch blood pressure medication to hydrochlorothiazide'}",Switch blood pressure medication to losartan,0,dev,,,,,Switch blood pressure medication to hydrochlorothiazide,1
324af048-5d69-4fd2-b84d-f2dd292a2a8a,headqa_en,A 50-year-old diabetic man with mechanical spinal pain and stiffness. The exploration denotes limitation of all movements of the lumbar and cervical spine. The acute phase reactants are negative. The antigen HLA-B27 is negative. Pelvic radiology is normal. The column radiology demonstrates the presence of thick intervertebral bony bridges separated from the spine and in the lumbar spine only on the right side thereof. What is the first diagnostic possibility?,"{'0': 'Ankylosing spondylitis.', '1': 'Ankylosing vertebral hyperostosis.', '2': ""Paget's disease."", '3': 'Psoriatic arthropathy', 'correct answer': 'Psoriatic arthropathy'}",Ankylosing spondylitis.,0,test,medicine,,2017,Cuaderno_2017_1_M,Psoriatic arthropathy,3
3befd4bb-af81-49a6-b640-711797bb3326,medmcqa,Saliva buffer system having low importance in stimulated saliva,"{'0': 'Amino acids', '1': 'Carbonic acids', '2': 'Phosphates', '3': 'None', 'correct answer': 'Carbonic acids'}",Amino acids,0,val,Pathology,None,,,Carbonic acids,1
4bf6d638-c417-4dbf-9534-71893c142743,medqa_in,"A 24-year-old pregnant woman at 28 weeks gestation presents to the emergency department with complaints of fever with chills and pain in her knee and ankle joints for the past 2 days. She also complains of headaches and difficulty moving her neck. Further questioning reveals that she had a tick bite on her arm while gardening a few days ago. Past medical history is noncontributory. She takes a multivitamin with iron and folate every day and has been receiving regular prenatal care and the pregnancy is progressing normally. On examination, an erythematous rash is seen on her right arm, as shown in the accompanying photograph. Her obstetric examination is normal. Ultrasound of the fetus is reassuring with a normal heartbeat and no gross abnormalities. A specimen is collected to test for Lyme disease. What is the next best step for this patient?","{'0': 'Ibuprofen', '1': 'Tetracycline', '2': 'Amoxicilin', '3': 'Gentamicin', 'correct answer': 'Tetracycline'}",Amoxicilin,2,test,,,,,Tetracycline,1
0c9cf26d-a7cb-40b8-8b0f-4af02cf4dcb3,medmcqa,Maternal side layer of the placenta is called ?,"{'0': 'Decidua basalis layer', '1': 'Decidua capsularis layer', '2': 'Decidua parietalis', '3': 'Decidua spongiosa', 'correct answer': 'Decidua parietalis'}",Decidua basalis layer,0,test,Gynaecology & Obstetrics,,,,Decidua parietalis,2
a838640e-369f-4723-91a9-7c4eb3f07bcf,headqa_en,"One of the main factors addressed in the Strategy for the Promotion of Health and Prevention in the National Health System (SNS), within the framework of the chronicity approach is (point out the FALSE answer):","{'0': 'The consumption of harmful risk of alcohol.', '1': 'The consumption of tobacco.', '2': 'Sexual health', '3': 'Emotional well-being', 'correct answer': 'The consumption of tobacco.'}",Sexual health,2,test,nursery,,2017,Cuaderno_2017_1_E,The consumption of tobacco.,1
ca5981e7-1b04-4a14-9964-cb172bd730be,medmcqa,The color of gingiva becomes red when?,"{'0': 'Vascularization increases or the epithelial keratinization is reduced', '1': 'Vascularization increases or the epithelial keratinization is increased', '2': 'Vascularization decreases or the epithelial keratinization is reduced', '3': 'Vascularization decreases or the epithelial keratinization is increased', 'correct answer': 'Vascularization increases or the epithelial keratinization is increased'}",Vascularization increases or the epithelial keratinization is reduced,0,test,Dental,,,,Vascularization increases or the epithelial keratinization is increased,1
391a2235-7807-45be-b819-3fbf3cd0b7a9,headqa_en,"Question linked to the image nº21 Man of 71 years. Smoker of 2-3 cigarettes a day until 7 years ago. He has worked as an employee in a packing company, without exposure to fumes or dust. Hypertension and hypertensive heart disease. Two years ago, he was diagnosed with paroxysmal atrial fibrillation and received treatment with amiodarone for 18 months at a dose of 200 mg / day and subsequently 400 mg / day in the last 6 months. Five months ago he presented a picture of cough, fever and dyspnea. A chest x-ray was performed (image A) and he received antibiotic and steroid treatment with improvement. The subsequent radiological control was normal. He came to the clinic for presenting asthenia, fever and cough of 2 weeks of evolution. In the laboratory, normal blood count, C reactive protein 9.5 mg / dL (normal 0-1), ESR 39 mm (1st hour). A chest x-ray is performed (image B) and admission is decided. A bronchoscopy was performed with bronchoalveolar lavage, with the following cell count: lymphocytes 74% (ratio CD4 / CD8 = 0.9), macrophages 18%, neutrophils 4%. Cytology is reported with the presence of foamy macrophages. A video-assisted thoracoscopy biopsy is indicated. Given the clinical, radiological and analytical findings with which we already have, we can conclude:","{'0': 'The most likely pathological picture is organized pneumonia.', '1': 'An amiodarone pneumonitis seems unlikely given that the patient has taken the drug for 2 years.', '2': 'The lymphocyte ratio of bronchoalveolar lavage suggests a picture of sarcoidosis.', '3': 'The picture suggests a pneumonia of fibrotic type.', 'correct answer': 'An amiodarone pneumonitis seems unlikely given that the patient has taken the drug for 2 years.'}",The most likely pathological picture is organized pneumonia.,0,val,medicine,,2015,Cuaderno_2015_1_M,An amiodarone pneumonitis seems unlikely given that the patient has taken the drug for 2 years.,1
